distance,angle,intensity,scan_index
1.9299999475479126,-1.9198628664016724,0,0
1.909999966621399,-1.911136221140623,0,0
0,-1.9024095758795738,0,0
1.899999976158142,-1.8936829306185246,0,0
1.8899999856948853,-1.8849562853574753,0,0
0,-1.876229640096426,0,0
1.8899999856948853,-1.8675029948353767,0,0
1.8600000143051147,-1.8587763495743275,0,0
0,-1.8500497043132782,0,0
1.850000023841858,-1.841323059052229,0,0
1.850000023841858,-1.8325964137911797,0,0
0,-1.8238697685301304,0,0
1.850000023841858,-1.8151431232690811,0,0
1.8300000429153442,-1.8064164780080318,0,0
0,-1.7976898327469826,0,0
1.840000033378601,-1.7889631874859333,0,0
1.8300000429153442,-1.780236542224884,0,0
0,-1.7715098969638348,0,0
1.8300000429153442,-1.7627832517027855,0,0
1.8200000524520874,-1.7540566064417362,0,0
1.8200000524520874,-1.745329961180687,0,0
1.8300000429153442,-1.7366033159196377,0,0
1.8200000524520874,-1.7278766706585884,0,0
1.809999942779541,-1.7191500253975391,0,0
1.8200000524520874,-1.7104233801364899,0,0
0,-1.7016967348754406,0,0
1.809999942779541,-1.6929700896143913,0,0
1.809999942779541,-1.684243444353342,0,0
0,-1.6755167990922928,0,0
1.8200000524520874,-1.6667901538312435,0,0
1.7999999523162842,-1.6580635085701942,0,0
0,-1.649336863309145,0,0
1.7999999523162842,-1.6406102180480957,0,0
1.7999999523162842,-1.6318835727870464,0,0
0,-1.6231569275259972,0,0
1.809999942779541,-1.614430282264948,0,0
1.7999999523162842,-1.6057036370038986,0,0
0,-1.5969769917428493,0,0
1.7999999523162842,-1.5882503464818,0,0
1.7999999523162842,-1.5795237012207508,0,0
1.809999942779541,-1.5707970559597015,0,0
1.7999999523162842,-1.5620704106986523,0,0
1.809999942779541,-1.553343765437603,0,0
1.809999942779541,-1.5446171201765537,0,0
1.7999999523162842,-1.5358904749155045,0,0
0,-1.5271638296544552,0,0
1.809999942779541,-1.518437184393406,0,0
1.7999999523162842,-1.5097105391323566,0,0
0,-1.5009838938713074,0,0
1.809999942779541,-1.492257248610258,0,0
1.7999999523162842,-1.4835306033492088,0,0
0,-1.4748039580881596,0,0
1.809999942779541,-1.4660773128271103,0,0
1.8200000524520874,-1.457350667566061,0,0
0,-1.4486240223050117,0,0
1.8200000524520874,-1.4398973770439625,0,0
1.8300000429153442,-1.4311707317829132,0,0
0,-1.422444086521864,0,0
1.840000033378601,-1.4137174412608147,0,0
1.8300000429153442,-1.4049907959997654,0,0
1.840000033378601,-1.3962641507387161,0,0
0,-1.3875375054776669,0,0
1.840000033378601,-1.3788108602166176,0,0
